Country or Area,Time Period,Sex,Age group,Unit of measurement,Nature,Value
Serbia,2010,Male,15+,Percent,Modeled,0.1026945785
Serbia,2010,Female,15 - 24,Percent,Modeled,0.0818846598
Serbia,2010,Female,15+,Percent,Modeled,0.1388216764
Serbia,2010,Female,25+,Percent,Modeled,0.1416756958
Serbia,2010,Male,15 - 24,Percent,Modeled,0.6254379153
Serbia,2010,Male,25+,Percent,Modeled,0.063994728
Serbia,2010,Total,15 - 24,Percent,Modeled,0.4428369999
Serbia,2010,Total,15+,Percent,Modeled,0.1179453656
Serbia,2010,Total,25+,Percent,Modeled,0.0972144455
Serbia,2009,Female,15+,Percent,Modeled,0.136412248
Serbia,2009,Female,25+,Percent,Modeled,0.1391953975
Serbia,2009,Male,15 - 24,Percent,Modeled,0.6196940541
Serbia,2009,Male,25+,Percent,Modeled,0.0987086445
Serbia,2009,Total,15 - 24,Percent,Modeled,0.4186353683
Serbia,2009,Total,25+,Percent,Modeled,0.1161295101
Serbia,2009,Total,15+,Percent,Modeled,0.1349530965
Serbia,2009,Male,15+,Percent,Modeled,0.1338653862
Serbia,2009,Female,15 - 24,Percent,Modeled,0.0887530074
Serbia,2008,Total,15+,Percent,Modeled,0.1853722334
Serbia,2008,Male,15+,Percent,Modeled,0.2221324444
Serbia,2008,Female,15 - 24,Percent,Modeled,0.1008892804
Serbia,2008,Female,15+,Percent,Modeled,0.1358601153
Serbia,2008,Female,25+,Percent,Modeled,0.1382831931
Serbia,2008,Male,15 - 24,Percent,Modeled,0.8954849243
Serbia,2008,Male,25+,Percent,Modeled,0.1608641744
Serbia,2008,Total,15 - 24,Percent,Modeled,0.6048030257
Serbia,2008,Total,25+,Percent,Modeled,0.1511314213
Serbia,2007,Female,15 - 24,Percent,Estimated,0.0998004004
Serbia,2007,Female,15+,Percent,Estimated,0.1409250051
Serbia,2007,Female,25+,Percent,Estimated,0.1438065767
Serbia,2007,Male,15 - 24,Percent,Estimated,0.7537109256
Serbia,2007,Male,15+,Percent,Estimated,0.1779779047
Serbia,2007,Male,25+,Percent,Estimated,0.1307743192
Serbia,2007,Total,15 - 24,Percent,Estimated,0.5021318197
Serbia,2007,Total,25+,Percent,Estimated,0.1362807453
Serbia,2007,Total,15+,Percent,Estimated,0.1624222398
Serbia,2006,Total,15+,Percent,Modeled,0.1556800753
Serbia,2006,Female,15 - 24,Percent,Modeled,0.090784274
Serbia,2006,Female,15+,Percent,Modeled,0.1421651989
Serbia,2006,Female,25+,Percent,Modeled,0.1457166821
Serbia,2006,Male,15 - 24,Percent,Modeled,0.8470776677
Serbia,2006,Male,15+,Percent,Modeled,0.1650721133
Serbia,2006,Male,25+,Percent,Modeled,0.0992347449
Serbia,2006,Total,15 - 24,Percent,Modeled,0.5915257335
Serbia,2006,Total,25+,Percent,Modeled,0.1185780764
Serbia,2005,Female,15 - 24,Percent,Modeled,0.1015653983
Serbia,2005,Female,15+,Percent,Modeled,0.1581938416
Serbia,2005,Female,25+,Percent,Modeled,0.1623067707
Serbia,2005,Male,15 - 24,Percent,Modeled,0.898947835
Serbia,2005,Male,15+,Percent,Modeled,0.1834854037
Serbia,2005,Male,25+,Percent,Modeled,0.1145730764
Serbia,2005,Total,15 - 24,Percent,Modeled,0.6167989969
Serbia,2005,Total,25+,Percent,Modeled,0.1346545964
Serbia,2005,Total,15+,Percent,Modeled,0.1729796678
Serbia,2004,Total,15+,Percent,Modeled,0.1977401078
Serbia,2004,Female,15 - 24,Percent,Modeled,0.1070676222
Serbia,2004,Female,15+,Percent,Modeled,0.1557286978
Serbia,2004,Female,25+,Percent,Modeled,0.1596400291
Serbia,2004,Male,15 - 24,Percent,Modeled,1.0042463541
Serbia,2004,Male,15+,Percent,Modeled,0.2277178913
Serbia,2004,Male,25+,Percent,Modeled,0.1480934024
Serbia,2004,Total,15 - 24,Percent,Modeled,0.6782179475
Serbia,2004,Total,25+,Percent,Modeled,0.1529587358
Serbia,2003,Female,15 - 24,Percent,Modeled,0.1242339611
Serbia,2003,Female,15+,Percent,Modeled,0.1525153071
Serbia,2003,Female,25+,Percent,Modeled,0.1551149487
Serbia,2003,Male,15 - 24,Percent,Modeled,1.250436306
Serbia,2003,Male,15+,Percent,Modeled,0.3005621135
Serbia,2003,Male,25+,Percent,Modeled,0.1938480884
Serbia,2003,Total,15 - 24,Percent,Modeled,0.8291597366
Serbia,2003,Total,15+,Percent,Modeled,0.2387397438
Serbia,2003,Total,25+,Percent,Modeled,0.1774988174
Serbia,2002,Female,15 - 24,Percent,Modeled,0.1327039003
Serbia,2002,Male,15 - 24,Percent,Modeled,1.3783755302
Serbia,2002,Male,15+,Percent,Modeled,0.3429875374
Serbia,2002,Male,25+,Percent,Modeled,0.2214153111
Serbia,2002,Total,15+,Percent,Modeled,0.2617966533
Serbia,2002,Total,25+,Percent,Modeled,0.1912720352
Serbia,2002,Total,15 - 24,Percent,Modeled,0.9065959454
Serbia,2002,Female,25+,Percent,Modeled,0.1498652697
Serbia,2002,Female,15+,Percent,Modeled,0.1483289301
Sierra Leone,2011,Total,25+,Percent,Modeled,47.0406036377
Sierra Leone,2011,Male,15+,Percent,Modeled,46.3259773254
Sierra Leone,2011,Female,15 - 24,Percent,Modeled,56.7064094543
Sierra Leone,2011,Female,15+,Percent,Modeled,51.4993057251
Sierra Leone,2011,Female,25+,Percent,Modeled,49.7032279968
Sierra Leone,2011,Male,15 - 24,Percent,Modeled,53.4392585754
Sierra Leone,2011,Male,25+,Percent,Modeled,44.5231628418
Sierra Leone,2011,Total,15 - 24,Percent,Modeled,55.2776947021
Sierra Leone,2011,Total,15+,Percent,Modeled,48.9312362671
Sierra Leone,2003,Female,15 - 24,Percent,Estimated,67.2780990601
Sierra Leone,2003,Female,15+,Percent,Estimated,62.558757782
Sierra Leone,2003,Female,25+,Percent,Estimated,60.9623031616
Sierra Leone,2003,Male,15 - 24,Percent,Estimated,62.9047737122
Sierra Leone,2003,Male,25+,Percent,Estimated,54.9229736328
Sierra Leone,2003,Total,15 - 24,Percent,Estimated,65.4246826172
Sierra Leone,2003,Total,15+,Percent,Estimated,59.5796508789
Sierra Leone,2003,Total,25+,Percent,Estimated,57.8924102783
Sierra Leone,2003,Male,15+,Percent,Estimated,56.4712982178
Solomon Islands,2005,Total,25+,Percent,Modeled,19.6635627747
Solomon Islands,2005,Male,15+,Percent,Modeled,19.8903083801
Solomon Islands,2005,Female,15 - 24,Percent,Modeled,21.6065368652
Solomon Islands,2005,Female,15+,Percent,Modeled,20.8439598083
Solomon Islands,2005,Female,25+,Percent,Modeled,20.6622638702
Solomon Islands,2005,Male,15 - 24,Percent,Modeled,24.6346378326
Solomon Islands,2005,Male,25+,Percent,Modeled,18.8883342743
Solomon Islands,2005,Total,15 - 24,Percent,Modeled,23.2209014893
Solomon Islands,2005,Total,15+,Percent,Modeled,20.3122596741
Somalia,2005,Total,15 - 24,Percent,Modeled,25.728061676
Somalia,2005,Female,25+,Percent,Modeled,21.8433799744
Somalia,2005,Female,15+,Percent,Modeled,23.1137752533
Somalia,2005,Female,15 - 24,Percent,Modeled,26.3069248199
Somalia,2005,Male,15 - 24,Percent,Modeled,25.4622783661
Somalia,2005,Male,15+,Percent,Modeled,21.1384029388
Somalia,2005,Male,25+,Percent,Modeled,19.5703620911
Somalia,2005,Total,15+,Percent,Modeled,21.7317504883
Somalia,2005,Total,25+,Percent,Modeled,20.2409915924
South Africa,2011,Female,15 - 24,Percent,Estimated,6.071059227
South Africa,2011,Female,15+,Percent,Estimated,6.4418582916
South Africa,2011,Female,25+,Percent,Estimated,6.4794235229
South Africa,2011,Male,15 - 24,Percent,Estimated,7.7942242622
South Africa,2011,Male,15+,Percent,Estimated,6.1537222862
South Africa,2011,Male,25+,Percent,Estimated,5.9625301361
South Africa,2011,Total,15 - 24,Percent,Estimated,7.0960855484
South Africa,2011,Total,15+,Percent,Estimated,6.2793331146
South Africa,2011,Total,25+,Percent,Estimated,6.1896128654
South Africa,2009,Female,15 - 24,Percent,Modeled,7.7336983681
South Africa,2009,Female,15+,Percent,Modeled,7.4729280472
South Africa,2009,Female,25+,Percent,Modeled,7.4426851273
South Africa,2009,Male,15 - 24,Percent,Modeled,8.6467065811
South Africa,2009,Male,15+,Percent,Modeled,6.3657121658
South Africa,2009,Male,25+,Percent,Modeled,6.0627126694
South Africa,2009,Total,15 - 24,Percent,Modeled,8.2747068405
South Africa,2009,Total,15+,Percent,Modeled,6.8494372368
South Africa,2009,Total,25+,Percent,Modeled,6.6706972122
South Africa,2006,Female,15 - 24,Percent,Modeled,13.8365459442
South Africa,2006,Female,15+,Percent,Modeled,12.1151275635
South Africa,2006,Female,25+,Percent,Modeled,11.8925800323
South Africa,2006,Male,15 - 24,Percent,Modeled,13.5921182632
South Africa,2006,Male,15+,Percent,Modeled,9.168639183
South Africa,2006,Male,25+,Percent,Modeled,8.5728969574
South Africa,2006,Total,15 - 24,Percent,Modeled,13.6953372955
South Africa,2006,Total,15+,Percent,Modeled,10.438955307
South Africa,2006,Total,25+,Percent,Modeled,10.0079898834
South Africa,2000,Female,15 - 24,Percent,Estimated,28.1155319214
South Africa,2000,Female,15+,Percent,Estimated,22.355304718
South Africa,2000,Female,25+,Percent,Estimated,21.515586853
South Africa,2000,Male,15 - 24,Percent,Estimated,23.6668758392
South Africa,2000,Male,15+,Percent,Estimated,14.0537242889
South Africa,2000,Male,25+,Percent,Estimated,12.7936229706
South Africa,2000,Total,15 - 24,Percent,Estimated,25.735622406
South Africa,2000,Total,15+,Percent,Estimated,17.7221355438
South Africa,2000,Total,25+,Percent,Estimated,16.6200466156
Sri Lanka,2013,Female,15 - 24,Percent,Modeled,3.1149206161
Sri Lanka,2013,Female,15+,Percent,Modeled,3.9553482533
Sri Lanka,2013,Female,25+,Percent,Modeled,4.074950695
Sri Lanka,2013,Male,15 - 24,Percent,Modeled,5.5652594566
Sri Lanka,2013,Male,15+,Percent,Modeled,4.3581900597
Sri Lanka,2013,Male,25+,Percent,Modeled,4.202849865
Sri Lanka,2013,Total,15 - 24,Percent,Modeled,4.7400050163
Sri Lanka,2013,Total,15+,Percent,Modeled,4.2303695679
Sri Lanka,2013,Total,25+,Percent,Modeled,4.1625990868
Sri Lanka,2009,Female,15 - 24,Percent,Modeled,3.2169857025
Sri Lanka,2009,Female,15+,Percent,Modeled,4.0109200478
Sri Lanka,2009,Female,25+,Percent,Modeled,4.1294002533
Sri Lanka,2009,Male,15 - 24,Percent,Modeled,5.5120563507
Sri Lanka,2009,Male,15+,Percent,Modeled,4.4669084549
Sri Lanka,2009,Male,25+,Percent,Modeled,4.3131518364
Sri Lanka,2009,Total,15 - 24,Percent,Modeled,4.7496585846
Sri Lanka,2009,Total,15+,Percent,Modeled,4.3166904449
Sri Lanka,2009,Total,25+,Percent,Modeled,4.2526926994
Sri Lanka,2007,Female,15 - 24,Percent,Modeled,3.7871346474
Sri Lanka,2007,Female,15+,Percent,Modeled,4.7270102501
Sri Lanka,2007,Female,25+,Percent,Modeled,4.9020628929
Sri Lanka,2007,Male,15 - 24,Percent,Modeled,6.1825942993
Sri Lanka,2007,Male,15+,Percent,Modeled,5.1313409805
Sri Lanka,2007,Male,25+,Percent,Modeled,4.9550971985
Sri Lanka,2007,Total,15 - 24,Percent,Modeled,5.3795933723
Sri Lanka,2007,Total,15+,Percent,Modeled,5.0037360191
Sri Lanka,2007,Total,25+,Percent,Modeled,4.9385404587
Sri Lanka,2002,Female,15 - 24,Percent,Estimated,5.2391757965
Sri Lanka,2002,Female,15+,Percent,Estimated,6.2090291977
Sri Lanka,2002,Female,25+,Percent,Estimated,6.4043579102
Sri Lanka,2002,Male,15 - 24,Percent,Estimated,7.8984298706
Sri Lanka,2002,Male,15+,Percent,Estimated,6.6740093231
Sri Lanka,2002,Male,25+,Percent,Estimated,6.4459657669
Sri Lanka,2002,Total,15 - 24,Percent,Estimated,7.0400252342
Sri Lanka,2002,Total,15+,Percent,Estimated,6.5304965973
Sri Lanka,2002,Total,25+,Percent,Estimated,6.4332356453
State of Palestine,2009,Female,15 - 24,Percent,Modeled,0.7225710154
State of Palestine,2009,Female,15+,Percent,Modeled,1.1928641796
State of Palestine,2009,Male,15 - 24,Percent,Modeled,1.0974086523
State of Palestine,2009,Male,15+,Percent,Modeled,0.555546701
State of Palestine,2009,Male,25+,Percent,Modeled,0.4142536819
State of Palestine,2009,Total,15 - 24,Percent,Modeled,1.0405392647
State of Palestine,2009,Total,15+,Percent,Modeled,0.6783438325
State of Palestine,2009,Total,25+,Percent,Modeled,0.5895777345
State of Palestine,2009,Female,25+,Percent,Modeled,1.2791261673
State of Palestine,2007,Female,15 - 24,Percent,Modeled,0.8909965754
State of Palestine,2007,Female,15+,Percent,Modeled,1.4351038933
State of Palestine,2007,Female,25+,Percent,Modeled,1.5334933996
State of Palestine,2007,Male,15 - 24,Percent,Modeled,1.5197236538
State of Palestine,2007,Male,15+,Percent,Modeled,0.9549707174
State of Palestine,2007,Male,25+,Percent,Modeled,0.8050848842
State of Palestine,2007,Total,15 - 24,Percent,Modeled,1.4307665825
State of Palestine,2007,Total,15+,Percent,Modeled,1.0433886051
State of Palestine,2007,Total,25+,Percent,Modeled,0.9469591379
State of Palestine,2006,Female,15 - 24,Percent,Modeled,0.6879608035
State of Palestine,2006,Female,15+,Percent,Modeled,1.1864877939
State of Palestine,2006,Female,25+,Percent,Modeled,1.2688738108
State of Palestine,2006,Male,15 - 24,Percent,Modeled,1.1585282087
State of Palestine,2006,Male,15+,Percent,Modeled,0.5845999122
State of Palestine,2006,Male,25+,Percent,Modeled,0.4318051636
State of Palestine,2006,Total,15 - 24,Percent,Modeled,1.0968198776
State of Palestine,2006,Total,15+,Percent,Modeled,0.694649756
State of Palestine,2006,Total,25+,Percent,Modeled,0.5955234766
State of Palestine,2005,Female,15 - 24,Percent,Modeled,0.8146683574
State of Palestine,2005,Female,15+,Percent,Modeled,1.3515355587
State of Palestine,2005,Female,25+,Percent,Modeled,1.4433522224
State of Palestine,2005,Male,15 - 24,Percent,Modeled,1.3458560705
State of Palestine,2005,Male,15+,Percent,Modeled,0.6318045259
State of Palestine,2005,Male,25+,Percent,Modeled,0.442593962
State of Palestine,2005,Total,15 - 24,Percent,Modeled,1.2739909887
State of Palestine,2005,Total,15+,Percent,Modeled,0.7637172341
State of Palestine,2005,Total,25+,Percent,Modeled,0.637858808
State of Palestine,2004,Female,15 - 24,Percent,Modeled,0.8191338778
State of Palestine,2004,Female,15+,Percent,Modeled,1.3797017336
State of Palestine,2004,Female,25+,Percent,Modeled,1.4712646008
State of Palestine,2004,Male,15 - 24,Percent,Modeled,1.2013889551
State of Palestine,2004,Male,15+,Percent,Modeled,0.4904913604
State of Palestine,2004,Male,25+,Percent,Modeled,0.3095171154
State of Palestine,2004,Total,15 - 24,Percent,Modeled,1.1501466036
State of Palestine,2004,Total,15+,Percent,Modeled,0.6530590057
State of Palestine,2004,Total,25+,Percent,Modeled,0.5353296399
Sudan,2009,Female,15+,Percent,Modeled,3.7930600643
Sudan,2009,Female,25+,Percent,Modeled,3.9732694626
Sudan,2009,Male,15 - 24,Percent,Modeled,5.0379862785
Sudan,2009,Male,15+,Percent,Modeled,8.9638080597
Sudan,2009,Male,25+,Percent,Modeled,9.9060773849
Sudan,2009,Total,15 - 24,Percent,Modeled,4.5871524811
Sudan,2009,Total,15+,Percent,Modeled,7.8179373741
Sudan,2009,Total,25+,Percent,Modeled,8.6068458557
Sudan,2009,Female,15 - 24,Percent,Modeled,3.0973923206
Swaziland,2009,Female,15+,Percent,Modeled,8.0715522766
Swaziland,2009,Female,25+,Percent,Modeled,7.6289167404
Swaziland,2009,Male,15 - 24,Percent,Modeled,10.0427951813
Swaziland,2009,Male,15+,Percent,Modeled,6.7220396996
Swaziland,2009,Male,25+,Percent,Modeled,6.0504002571
Swaziland,2009,Total,15 - 24,Percent,Modeled,10.0237903595
Swaziland,2009,Total,25+,Percent,Modeled,6.6394262314
Swaziland,2009,Total,15+,Percent,Modeled,7.2328457832
Swaziland,2009,Female,15 - 24,Percent,Modeled,9.9957208633
Swaziland,2001,Total,15+,Percent,Modeled,8.3811540604
Swaziland,2001,Total,15 - 24,Percent,Modeled,11.6693029404
Swaziland,2001,Male,15+,Percent,Modeled,7.8708968163
Swaziland,2001,Female,15 - 24,Percent,Modeled,11.4871244431
Swaziland,2001,Female,15+,Percent,Modeled,9.3408937454
Swaziland,2001,Female,25+,Percent,Modeled,8.6685190201
Swaziland,2001,Male,15 - 24,Percent,Modeled,11.7849693298
Swaziland,2001,Male,25+,Percent,Modeled,6.8938679695
Swaziland,2001,Total,25+,Percent,Modeled,7.4900445938
Syrian Arab Republic,2004,Female,15+,Percent,Modeled,3.4968421459
Syrian Arab Republic,2004,Female,25+,Percent,Modeled,3.7559695244
Syrian Arab Republic,2004,Male,15 - 24,Percent,Modeled,7.5166239738
Syrian Arab Republic,2004,Male,15+,Percent,Modeled,12.0684194565
Syrian Arab Republic,2004,Male,25+,Percent,Modeled,13.6730642319
Syrian Arab Republic,2004,Total,15 - 24,Percent,Modeled,6.7342410088
Syrian Arab Republic,2004,Total,25+,Percent,Modeled,12.1638040543
Syrian Arab Republic,2004,Total,15+,Percent,Modeled,10.7297172546
Syrian Arab Republic,2004,Female,15 - 24,Percent,Modeled,2.8401091099
Tajikistan,2009,Total,25+,Percent,Estimated,3.8462677002
Tajikistan,2009,Male,25+,Percent,Estimated,4.149532795
Tajikistan,2009,Female,25+,Percent,Estimated,3.4750554562
Tajikistan,2009,Female,15 - 24,Percent,Estimated,4.0189042091
Tajikistan,2009,Female,15+,Percent,Estimated,3.5976099968
Tajikistan,2009,Male,15 - 24,Percent,Estimated,2.9484436512
Tajikistan,2009,Male,15+,Percent,Estimated,3.8514847755
Tajikistan,2009,Total,15 - 24,Percent,Estimated,3.3965640068
Tajikistan,2009,Total,15+,Percent,Estimated,3.7392094135
Tajikistan,2007,Female,15 - 24,Percent,Modeled,6.2897815704
Tajikistan,2007,Female,15+,Percent,Modeled,5.6367325783
Tajikistan,2007,Male,15 - 24,Percent,Modeled,5.9621167183
Tajikistan,2007,Male,15+,Percent,Modeled,6.4858617783
Tajikistan,2007,Total,15 - 24,Percent,Modeled,6.1009311676
Tajikistan,2007,Total,15+,Percent,Modeled,6.1087665558
Tajikistan,2007,Total,25+,Percent,Modeled,6.1112456322
Tajikistan,2007,Male,25+,Percent,Modeled,6.6596260071
Tajikistan,2007,Female,25+,Percent,Modeled,5.4425253868
Tajikistan,2004,Male,25+,Percent,Modeled,11.104227066
Tajikistan,2004,Male,15 - 24,Percent,Modeled,11.8665361404
Tajikistan,2004,Female,25+,Percent,Modeled,9.2336263657
Tajikistan,2004,Female,15 - 24,Percent,Modeled,11.3566770554
Tajikistan,2004,Female,15+,Percent,Modeled,9.7207183838
Tajikistan,2004,Male,15+,Percent,Modeled,11.2899627686
Tajikistan,2004,Total,15 - 24,Percent,Modeled,11.6465549469
Tajikistan,2004,Total,15+,Percent,Modeled,10.5896711349
Tajikistan,2004,Total,25+,Percent,Modeled,10.2608337402
Tajikistan,2003,Female,15 - 24,Percent,Estimated,31.3335838318
Tajikistan,2003,Female,15+,Percent,Estimated,27.3538970947
Tajikistan,2003,Female,25+,Percent,Estimated,26.1753253937
Tajikistan,2003,Total,15 - 24,Percent,Estimated,30.6811847687
Tajikistan,2003,Total,15+,Percent,Estimated,27.8183784485
Tajikistan,2003,Total,25+,Percent,Estimated,26.9377193451
Tajikistan,2003,Male,25+,Percent,Estimated,27.5644035339
Tajikistan,2003,Male,15+,Percent,Estimated,28.1941146851
Tajikistan,2003,Male,15 - 24,Percent,Estimated,30.180273056
Thailand,2012,Male,15 - 24,Percent,Modeled,0.1600290388
Thailand,2012,Total,25+,Percent,Modeled,0.1009235308
Thailand,2012,Male,25+,Percent,Modeled,0.1073631197
Thailand,2012,Female,15+,Percent,Modeled,0.1074163914
Thailand,2012,Female,15 - 24,Percent,Modeled,0.2402358055
Thailand,2012,Female,25+,Percent,Modeled,0.0934252813
Thailand,2012,Male,15+,Percent,Modeled,0.1134997457
Thailand,2012,Total,15 - 24,Percent,Modeled,0.192661792
Thailand,2012,Total,15+,Percent,Modeled,0.1107249632
Thailand,2011,Female,15 - 24,Percent,Modeled,0.2352992594
Thailand,2011,Female,25+,Percent,Modeled,0.0920017213
Thailand,2011,Male,15+,Percent,Modeled,0.1120737419
Thailand,2011,Total,15 - 24,Percent,Modeled,0.1875807196
Thailand,2011,Total,15+,Percent,Modeled,0.1093575507
Thailand,2011,Total,25+,Percent,Modeled,0.0997054651
Thailand,2011,Male,25+,Percent,Modeled,0.1063639149
Thailand,2011,Male,15 - 24,Percent,Modeled,0.1542380005
Thailand,2011,Female,15+,Percent,Modeled,0.1061414704
Thailand,2010,Total,25+,Percent,Estimated,0.1092409492
Thailand,2010,Male,25+,Percent,Estimated,0.1153849736
Thailand,2010,Male,15 - 24,Percent,Estimated,0.1684692949
Thailand,2010,Female,15+,Percent,Estimated,0.1180202663
Thailand,2010,Female,15 - 24,Percent,Estimated,0.2595409155
Thailand,2010,Female,25+,Percent,Estimated,0.1019744426
Thailand,2010,Male,15+,Percent,Estimated,0.1217731759
Thailand,2010,Total,15 - 24,Percent,Estimated,0.2059936821
Thailand,2010,Total,15+,Percent,Estimated,0.1200731471
Thailand,2009,Female,15 - 24,Percent,Modeled,0.3948917091
Thailand,2009,Female,15+,Percent,Modeled,0.2040271461
Thailand,2009,Female,25+,Percent,Modeled,0.1814525276
Thailand,2009,Male,15+,Percent,Modeled,0.2144640535
Thailand,2009,Male,25+,Percent,Modeled,0.2007199973
Thailand,2009,Total,15 - 24,Percent,Modeled,0.3456812203
Thailand,2009,Total,15+,Percent,Modeled,0.2097400129
Thailand,2009,Total,25+,Percent,Modeled,0.1918978095
Thailand,2009,Male,15 - 24,Percent,Modeled,0.3111119568
Thailand,2008,Total,25+,Percent,Modeled,0.2722800374
Thailand,2008,Male,15 - 24,Percent,Modeled,0.4541244805
Thailand,2008,Female,15 - 24,Percent,Modeled,0.5347126126
Thailand,2008,Female,15+,Percent,Modeled,0.2858695984
Thailand,2008,Female,25+,Percent,Modeled,0.2558001876
Thailand,2008,Male,15+,Percent,Modeled,0.3083396256
Thailand,2008,Male,25+,Percent,Modeled,0.286515981
Thailand,2008,Total,15 - 24,Percent,Modeled,0.4872322977
Thailand,2008,Total,15+,Percent,Modeled,0.2980673015
Thailand,2007,Female,15 - 24,Percent,Modeled,0.6750494242
Thailand,2007,Female,15+,Percent,Modeled,0.3728631735
Thailand,2007,Female,25+,Percent,Modeled,0.3335592151
Thailand,2007,Male,15+,Percent,Modeled,0.4001277387
Thailand,2007,Male,25+,Percent,Modeled,0.3708336353
Thailand,2007,Total,15 - 24,Percent,Modeled,0.6253671646
Thailand,2007,Total,15+,Percent,Modeled,0.3876726031
Thailand,2007,Total,25+,Percent,Modeled,0.3536061049
Thailand,2007,Male,15 - 24,Percent,Modeled,0.5894734263
Thailand,2006,Total,25+,Percent,Modeled,0.4477036595
Thailand,2006,Total,15 - 24,Percent,Modeled,0.7789524794
Thailand,2006,Female,15 - 24,Percent,Modeled,0.815987587
Thailand,2006,Female,15+,Percent,Modeled,0.4696420431
Thailand,2006,Female,25+,Percent,Modeled,0.4249497354
Thailand,2006,Male,15 - 24,Percent,Modeled,0.7538291216
Thailand,2006,Male,15+,Percent,Modeled,0.5076038837
Thailand,2006,Male,25+,Percent,Modeled,0.4672889709
Thailand,2006,Total,15+,Percent,Modeled,0.4903287292
Thailand,2004,Female,15 - 24,Percent,Modeled,1.1800074577
Thailand,2004,Female,15+,Percent,Modeled,0.6771031618
Thailand,2004,Female,25+,Percent,Modeled,0.5991458297
Thailand,2004,Male,15+,Percent,Modeled,0.7137103081
Thailand,2004,Male,25+,Percent,Modeled,0.6515686512
Thailand,2004,Total,15+,Percent,Modeled,0.6970113516
Thailand,2004,Total,25+,Percent,Modeled,0.6273958087
Thailand,2004,Total,15 - 24,Percent,Modeled,1.1125323772
Thailand,2004,Male,15 - 24,Percent,Modeled,1.0623227358
Thailand,2002,Total,25+,Percent,Estimated,0.8223530054
Thailand,2002,Total,15 - 24,Percent,Estimated,1.4781742096
Thailand,2002,Male,15 - 24,Percent,Estimated,1.4019924402
Thailand,2002,Female,15 - 24,Percent,Estimated,1.5782345533
Thailand,2002,Female,15+,Percent,Estimated,0.8999256492
Thailand,2002,Female,25+,Percent,Estimated,0.787733674
Thailand,2002,Male,15+,Percent,Estimated,0.9383351803
Thailand,2002,Male,25+,Percent,Estimated,0.8520195484
Thailand,2002,Total,15+,Percent,Estimated,0.9207783341
Thailand,2000,Female,15+,Percent,Modeled,1.0592083931
Thailand,2000,Female,25+,Percent,Modeled,0.9096566439
Thailand,2000,Male,25+,Percent,Modeled,0.9775926471
Thailand,2000,Total,15 - 24,Percent,Modeled,1.720933795
Thailand,2000,Total,15+,Percent,Modeled,1.0676326752
Thailand,2000,Total,25+,Percent,Modeled,0.9464381933
Thailand,2000,Male,15+,Percent,Modeled,1.0747466087
Thailand,2000,Male,15 - 24,Percent,Modeled,1.5939036608
Thailand,2000,Female,15 - 24,Percent,Modeled,1.8738076687
The former Yugoslav Republic of Macedonia,2008,Male,25+,Percent,Modeled,0.0887723789
The former Yugoslav Republic of Macedonia,2008,Female,25+,Percent,Modeled,1.5929620266
The former Yugoslav Republic of Macedonia,2008,Female,15+,Percent,Modeled,1.5635420084
The former Yugoslav Republic of Macedonia,2008,Female,15 - 24,Percent,Modeled,1.2128113508
The former Yugoslav Republic of Macedonia,2008,Male,15 - 24,Percent,Modeled,0.8928615451
The former Yugoslav Republic of Macedonia,2008,Male,15+,Percent,Modeled,0.1555915326
The former Yugoslav Republic of Macedonia,2008,Total,15 - 24,Percent,Modeled,1.0117548704
The former Yugoslav Republic of Macedonia,2008,Total,15+,Percent,Modeled,0.7023889422
The former Yugoslav Republic of Macedonia,2008,Total,25+,Percent,Modeled,0.6751648188
The former Yugoslav Republic of Macedonia,2006,Female,15 - 24,Percent,Modeled,1.1821255684
The former Yugoslav Republic of Macedonia,2006,Male,15 - 24,Percent,Modeled,0.7975469232
The former Yugoslav Republic of Macedonia,2006,Male,15+,Percent,Modeled,0.1271769106
The former Yugoslav Republic of Macedonia,2006,Total,15 - 24,Percent,Modeled,0.9460157752
The former Yugoslav Republic of Macedonia,2006,Total,15+,Percent,Modeled,0.6669813395
The former Yugoslav Republic of Macedonia,2006,Total,25+,Percent,Modeled,0.6419164538
The former Yugoslav Republic of Macedonia,2006,Female,25+,Percent,Modeled,1.5605020523
The former Yugoslav Republic of Macedonia,2006,Female,15+,Percent,Modeled,1.5292303562
The former Yugoslav Republic of Macedonia,2006,Male,25+,Percent,Modeled,0.0670710951
The former Yugoslav Republic of Macedonia,2005,Male,25+,Percent,Modeled,0.0457201526
The former Yugoslav Republic of Macedonia,2005,Female,25+,Percent,Modeled,1.4634885788
The former Yugoslav Republic of Macedonia,2005,Female,15+,Percent,Modeled,1.43088305
The former Yugoslav Republic of Macedonia,2005,Female,15 - 24,Percent,Modeled,1.0387991667
The former Yugoslav Republic of Macedonia,2005,Male,15 - 24,Percent,Modeled,0.6098484397
The former Yugoslav Republic of Macedonia,2005,Male,15+,Percent,Modeled,0.0864513144
The former Yugoslav Republic of Macedonia,2005,Total,15 - 24,Percent,Modeled,0.7856696844
The former Yugoslav Republic of Macedonia,2005,Total,15+,Percent,Modeled,0.6176604629
The former Yugoslav Republic of Macedonia,2005,Total,25+,Percent,Modeled,0.6042325497
The former Yugoslav Republic of Macedonia,2004,Female,15 - 24,Percent,Modeled,0.9441640973
The former Yugoslav Republic of Macedonia,2004,Male,15 - 24,Percent,Modeled,0.5668561459
